Entity,Year,Renewables - % electricity,Population
EU,1990,20.04279173148148,1779443234
EU,1991,20.84072726814815,1803928752
EU,1992,20.286650801851852,1828466837
EU,1993,21.275753796296296,1852967191
EU,1994,21.955584707777774,1877338672
EU,1995,21.925100559481482,1901489825
EU,1996,21.894496064444443,1925434188
EU,1997,22.08251186925926,1949536187
EU,1998,23.371823140370367,1973609061
EU,1999,22.435364502592595,1997471536
EU,2000,23.233870606296296,2021558421
EU,2001,21.856164643333333,2045861153
EU,2002,19.961523191111112,2070104042
EU,2003,19.62448180740741,2094287418
EU,2004,21.599149046296297,2118427974
EU,2005,22.05956262222222,2142115585
EU,2006,21.97996597777778,2165154467
EU,2007,22.01033539259259,2188200402
EU,2008,23.471641516666665,2210991340
EU,2009,25.606412208888887,2233120203
EU,2010,27.6707916037037,2254865477
EU,2011,27.360434151851855,2276581281
EU,2012,30.243679674074073,2298097802
EU,2013,33.83006598888888,2319034279
EU,2014,36.36134380740741,2339254235
EU,2015,37.083920140740744,2358856257
EU,2016,39.064648,2378571328
EU,2017,40.05183375925926,2397995780
EU,2018,42.21760990740741,2416353006
EU,2019,43.95628029629629,2433818692
EU,2020,47.98823633333333,2449126268
EU,2021,48.347741766666665,2460980703
