,Entity,Year,Population,indu_rate
0,Canada,1991.0,28016923.99170042,21.98198087762277
1,Canada,1992.0,28343990.743741207,21.985536994446008
2,Canada,1993.0,28672935.119196557,21.879076562087672
3,Canada,1994.0,28978730.60884536,22.098868805284233
4,Canada,1995.0,29289383.34659731,22.210615563589524
5,Canada,1996.0,29591407.03915106,22.21418789306474
6,Canada,1997.0,29887516.840719532,22.107743720141894
7,Canada,1998.0,30141221.433118626,22.327552176975356
8,Canada,1999.0,30399579.563093174,22.439293890027656
9,Canada,2000.0,30684550.001307905,22.44210567185792
10,Canada,2001.0,31005123.996526763,22.33409985268182
11,Canada,2002.0,31319936.680716254,22.427701198515237
12,Canada,2003.0,31619542.828273363,22.289500454480162
13,Canada,2004.0,31908935.203387834,22.042064920123998
14,Canada,2005.0,32219304.868383765,21.66794327919976
15,Canada,2006.0,32531387.775572628,21.620007742138288
16,Canada,2007.0,32861429.200547364,21.46401387106988
17,Canada,2008.0,33218082.936530676,21.199841020786195
18,Canada,2009.0,33597167.159338154,20.82491811798596
19,Canada,2010.0,33960944.06993435,20.776984782487357
20,Canada,2011.0,34309581.03617653,20.62100925264754
21,Canada,2012.0,34682889.79425515,20.357317878532324
22,Canada,2013.0,35078674.66677569,19.98287777111028
23,Canada,2014.0,35407412.597994216,19.93542252335655
24,Canada,2015.0,35754109.04606748,19.77991012674728
25,Canada,2016.0,36127417.804212034,19.51621875263195
26,Canada,2017.0,36523202.67674678,19.14177864520799
27,Canada,2018.0,36988173.88208258,18.664716009184914
28,Canada,2019.0,37492557.87455502,18.077564693373745
29,Canada,2020.0,38057389.64512283,17.38355344760322
30,Canada,2021.0,37980461.801586874,18.303308312927847
31,Canada,2022.0,38432701.892040074,17.82361688328569
32,Canada,2023.0,38937085.88446265,17.236465567473964
33,Canada,2024.0,39501917.655007824,16.542454321699285
34,Canada,2025.0,39424989.81154808,17.462209187029945
35,Canada,2026.0,39877229.901950546,16.982517757384088
36,Canada,2027.0,40381613.89444384,16.395366441574375
37,Canada,2028.0,40946445.665009096,15.701355195803693
38,Canada,2029.0,40869517.82146858,16.621110061129265
39,Canada,2030.0,41321757.911876865,16.141418631480633
40,Canada,2031.0,41826141.90428928,15.554267315673192
41,Canada,2032.0,42390973.6748618,14.86025606989413
42,Canada,2033.0,42314045.831338525,15.780010935226047
43,Canada,2034.0,42766285.921837,15.300319505582863
44,Canada,2035.0,43270669.91430202,14.713168189766277
45,Canada,2036.0,43835501.6847849,14.019156943995414
46,Canada,2037.0,43758573.84137647,14.93891180932885
47,Canada,2038.0,44210813.93179529,14.45922037968593
48,Canada,2039.0,44715197.92425953,13.87206906387052
49,Canada,2040.0,45280029.69481841,13.178057818103529
