Entity,Code,Year,Fossil fuels (% growth)
Argentina,ARG,1967,2.9118538
Argentina,ARG,1968,3.2267213
Argentina,ARG,1969,3.5135508
Argentina,ARG,1970,-5.4849505
Argentina,ARG,1971,6.102276
Argentina,ARG,1972,1.2920976
Argentina,ARG,1973,3.3730865
Argentina,ARG,1974,1.7995238
Argentina,ARG,1975,-3.679335
Argentina,ARG,1976,5.404103
Argentina,ARG,1977,4.786432
Argentina,ARG,1978,-2.08745
Argentina,ARG,1979,5.9404016
Argentina,ARG,1980,-3.4259617
Argentina,ARG,1981,-3.3356428
Argentina,ARG,1982,0.62696934
Argentina,ARG,1983,3.0145645
Argentina,ARG,1984,-1.4518499
Argentina,ARG,1985,-2.7047992
Argentina,ARG,1986,6.511545
Argentina,ARG,1987,4.245925
Argentina,ARG,1988,6.7831993
Argentina,ARG,1989,-2.2898316
Argentina,ARG,1990,-6.038743
Argentina,ARG,1991,2.8293133
Argentina,ARG,1992,6.6671014
Argentina,ARG,1993,0.6495714
Argentina,ARG,1994,3.941989
Argentina,ARG,1995,4.9651384
Argentina,ARG,1996,7.4303627
Argentina,ARG,1997,-1.7222285
Argentina,ARG,1998,5.233395
Argentina,ARG,1999,3.9883614
Argentina,ARG,2000,-2.6607335
Argentina,ARG,2001,-6.9803534
Argentina,ARG,2002,-3.976649
Argentina,ARG,2003,8.9419365
Argentina,ARG,2004,9.132218
Argentina,ARG,2005,6.0444117
Argentina,ARG,2006,4.0621996
Argentina,ARG,2007,8.074081
Argentina,ARG,2008,1.5260696
Argentina,ARG,2009,-4.649252
Argentina,ARG,2010,4.3530703
Argentina,ARG,2011,4.0886164
Argentina,ARG,2012,4.779041
Argentina,ARG,2013,3.2465816
Argentina,ARG,2014,-0.051176548
Argentina,ARG,2015,1.4921069
Argentina,ARG,2016,0.005054474
Argentina,ARG,2017,-0.3666699
Argentina,ARG,2018,-1.3433456
Argentina,ARG,2019,-6.9924774
Argentina,ARG,2020,-7.293451
Argentina,ARG,2021,12.741291
Argentina,ARG,2022,2.708292
Asia,,1966,8.85644
Asia,,1967,5.658555
Asia,,1968,7.672477
Asia,,1969,14.37521
Asia,,1970,13.8732195
Asia,,1971,9.711695
Asia,,1972,6.407821
Asia,,1973,9.235394
Asia,,1974,1.4556527
Asia,,1975,3.28238
Asia,,1976,5.7492375
Asia,,1977,7.306206
Asia,,1978,6.4086437
Asia,,1979,5.22269
Asia,,1980,-0.483191
Asia,,1981,1.0434389
Asia,,1982,1.9316435
Asia,,1983,5.098617
Asia,,1984,8.040667
Asia,,1985,16.739082
Asia,,1986,4.3005347
Asia,,1987,5.3884864
Asia,,1988,7.0384264
Asia,,1989,4.916489
Asia,,1990,3.808844
Asia,,1991,3.9836884
Asia,,1992,4.7243
Asia,,1993,3.6365867
Asia,,1994,5.389607
Asia,,1995,3.9561152
Asia,,1996,4.6257257
Asia,,1997,2.914703
Asia,,1998,-0.32219887
Asia,,1999,3.5964131
Asia,,2000,3.9846778
Asia,,2001,3.3556104
Asia,,2002,5.170119
Asia,,2003,8.826971
Asia,,2004,9.094822
Asia,,2005,7.876456
Asia,,2006,5.651796
Asia,,2007,6.474149
Asia,,2008,2.9021978
Asia,,2009,2.2435546
Asia,,2010,6.0073376
Asia,,2011,5.8415413
Asia,,2012,3.531766
Asia,,2013,2.059877
Asia,,2014,2.0859957
Asia,,2015,1.3948321
Asia,,2016,1.1657
Asia,,2017,2.8306723
Asia,,2018,2.9558063
Asia,,2019,1.8961549
Asia,,2020,-1.5081406
Asia,,2021,4.733956
Asia,,2022,1.368165
Asia Pacific (EI),,1966,8.960211
Asia Pacific (EI),,1967,5.690849
Asia Pacific (EI),,1968,7.556176
Asia Pacific (EI),,1969,14.417887
Asia Pacific (EI),,1970,14.300084
Asia Pacific (EI),,1971,9.413469
Asia Pacific (EI),,1972,6.1281085
Asia Pacific (EI),,1973,8.826315
Asia Pacific (EI),,1974,1.3041377
Asia Pacific (EI),,1975,3.3928514
Asia Pacific (EI),,1976,4.9393535
Asia Pacific (EI),,1977,6.474018
Asia Pacific (EI),,1978,6.2242866
Asia Pacific (EI),,1979,4.0801764
Asia Pacific (EI),,1980,-0.13914704
Asia Pacific (EI),,1981,0.21226406
Asia Pacific (EI),,1982,0.6310463
Asia Pacific (EI),,1983,3.819406
Asia Pacific (EI),,1984,7.1403146
Asia Pacific (EI),,1985,4.1936517
Asia Pacific (EI),,1986,4.0828586
Asia Pacific (EI),,1987,5.5137753
Asia Pacific (EI),,1988,7.7034473
Asia Pacific (EI),,1989,5.291915
Asia Pacific (EI),,1990,4.0148735
Asia Pacific (EI),,1991,4.606259
Asia Pacific (EI),,1992,5.0625205
Asia Pacific (EI),,1993,4.8678875
Asia Pacific (EI),,1994,5.593133
Asia Pacific (EI),,1995,4.7265887
Asia Pacific (EI),,1996,5.1155686
Asia Pacific (EI),,1997,3.0288577
Asia Pacific (EI),,1998,-0.79236627
Asia Pacific (EI),,1999,4.0563345
Asia Pacific (EI),,2000,3.8462162
Asia Pacific (EI),,2001,3.121519
Asia Pacific (EI),,2002,5.189395
Asia Pacific (EI),,2003,9.577227
Asia Pacific (EI),,2004,9.295273
Asia Pacific (EI),,2005,8.119798
Asia Pacific (EI),,2006,5.7409883
Asia Pacific (EI),,2007,6.5689206
Asia Pacific (EI),,2008,2.2168875
Asia Pacific (EI),,2009,2.312684
Asia Pacific (EI),,2010,5.8817387
Asia Pacific (EI),,2011,5.804467
Asia Pacific (EI),,2012,3.3023953
Asia Pacific (EI),,2013,2.107215
Asia Pacific (EI),,2014,1.5991211
Asia Pacific (EI),,2015,1.2158632
Asia Pacific (EI),,2016,0.61860085
Asia Pacific (EI),,2017,2.8499603
Asia Pacific (EI),,2018,3.3726454
Asia Pacific (EI),,2019,2.3599744
Asia Pacific (EI),,2020,-1.574868
Asia Pacific (EI),,2021,4.544103
Asia Pacific (EI),,2022,0.9532809
Australia,AUS,1966,5.3221464
Australia,AUS,1967,6.1872125
Australia,AUS,1968,6.1392784
Australia,AUS,1969,3.890431
Australia,AUS,1970,8.740783
Australia,AUS,1971,4.5896053
Australia,AUS,1972,4.8050165
Australia,AUS,1973,6.921661
Australia,AUS,1974,5.943322
Australia,AUS,1975,1.3158321
Australia,AUS,1976,4.035616
Australia,AUS,1977,5.506563
Australia,AUS,1978,2.9525757
Australia,AUS,1979,4.0831327
Australia,AUS,1980,0.67254305
Australia,AUS,1981,1.531899
Australia,AUS,1982,-0.61202645
Australia,AUS,1983,-3.3061445
Australia,AUS,1984,3.6346316
Australia,AUS,1985,2.794063
Australia,AUS,1986,2.0445943
Australia,AUS,1987,3.2235146
Australia,AUS,1988,4.469371
Australia,AUS,1989,5.292046
Australia,AUS,1990,2.0304084
Australia,AUS,1991,-1.0421157
Australia,AUS,1992,1.6554713
Australia,AUS,1993,2.0706892
Australia,AUS,1994,4.1428804
Australia,AUS,1995,4.731798
Australia,AUS,1996,2.9348254
Australia,AUS,1997,2.5506139
Australia,AUS,1998,2.501285
Australia,AUS,1999,4.1246295
Australia,AUS,2000,0.63090324
Australia,AUS,2001,0.8997321
Australia,AUS,2002,1.9395828
Australia,AUS,2003,1.3366222
Australia,AUS,2004,3.179288
Australia,AUS,2005,0.13067722
Australia,AUS,2006,4.376185
Australia,AUS,2007,2.6764393
Australia,AUS,2008,2.0111084
Australia,AUS,2009,-1.6938627
Australia,AUS,2010,-0.45514107
Australia,AUS,2011,1.8131018
Australia,AUS,2012,-1.442653
Australia,AUS,2013,0.382936
Australia,AUS,2014,1.2865782
Australia,AUS,2015,1.8971682
Australia,AUS,2016,-0.6414294
Australia,AUS,2017,0.17688274
Australia,AUS,2018,-0.2040565
Australia,AUS,2019,2.7000666
Australia,AUS,2020,-7.577777
Australia,AUS,2021,-1.9719839
Australia,AUS,2022,2.439773
Austria,AUT,1966,3.618729
Austria,AUT,1967,0.6480932
Austria,AUT,1968,8.402336
Austria,AUT,1969,7.492316
Austria,AUT,1970,10.843587
Austria,AUT,1971,6.355512
Austria,AUT,1972,3.619039
Austria,AUT,1973,6.6453695
Austria,AUT,1974,-3.9634883
Austria,AUT,1975,-2.3637354
Austria,AUT,1976,9.197855
Austria,AUT,1977,-5.291295
Austria,AUT,1978,5.7515264
Austria,AUT,1979,3.7732482
Austria,AUT,1980,-1.8144906
Austria,AUT,1981,-6.1717987
Austria,AUT,1982,-4.6950283
Austria,AUT,1983,0.014793873
Austria,AUT,1984,3.8487315
Austria,AUT,1985,1.704824
Austria,AUT,1986,-0.3834486
Austria,AUT,1987,2.5090337
Austria,AUT,1988,-2.2471726
Austria,AUT,1989,1.0448217
Austria,AUT,1990,6.510961
Austria,AUT,1991,6.8264365
